unidad_numero,posicion,fuego
27,ddi,8032
27,ddd,8031
27,tie,6857
27,tii,6858
27,tdi,7606
27,tde,7605
27,ra,6950
28,ddi,10837
28,ddd,10838
28,tie,10820
28,tii,10818
28,tdi,10819
28,tde,10817
611,ddi,4271
611,ddd,4272
611,cie,3664
611,cii,13VACIO
611,cdi,3666
611,cde,3667
611,tie,3969
611,tde,3867
33,ddi,11209
33,ddd,11210
33,cie,11403
33,cii,11402
33,cdi,11401
33,cde,11400
33,tie,11252
33,tde,11253
39,ddi,12928
39,ddd,12927
39,cie,10721B
39,cii,7201
39,cdi,10723
39,cde,12655
39,tie,11373
39,tde,11280B
39,ra,5399
40,ddi,13046
40,ddd,13045
40,cie,10936
40,cii,10935
40,cdi,10937
40,cde,10938
40,tie,11250
40,tde,11249
40,ra,5092
41,ddi,12167
41,ddd,12166
41,cie,10630
41,cii,10631
41,cdi,11358
41,cde,11357
41,tie,10788
41,tde,11254
41,ra,5408
3001,ddi,7628
3001,ddd,7629
3001,tie,6263
3001,tii,5683
3001,tdi,4467
3001,tde,5450
3001,ra,6257
3004,ddi,7386
3004,ddd,7387
3004,tie,5512
3004,tii,5611
3004,tdi,6945
3004,tde,6819
149,ddi,4275
149,ddd,5899
149,tie,5747R
149,tii,29vacio
149,tdi,5861R
149,tde,28vacio
3003,ddi,4613
3003,ddd,4702
3003,tie,4701
3003,tii,2VACIO
3003,tdi,6VACIO
3003,tde,4813
153,ddi,7250
153,ddd,7251
153,tie,7074
153,tii,6783
153,tdi,7146
153,tde,7147
153,ra,4408
159,ddi,7778
159,ddd,7777
159,tie,7420
159,tii,7421
159,tdi,6527
159,tde,6461
159,ra,5901B
161,ddi,9277
161,ddd,10279
161,tie,8997
161,tii,10098
161,tdi,9374
161,tde,9375
163,ddi,11085
163,ddd,11084
163,tie,8466R
163,tii,8454R
163,tdi,9019R
163,tde,7292R
165,ddi,12835
165,ddd,12914
165,tie,11322
165,tii,11321
165,tdi,11497
165,tde,11496
165,ra,5493
171,ddi,9582
171,ddd,9583
171,tie,8933
171,tii,7953R
171,tdi,6941
171,tde,6940
172,ddi,13247
172,ddd,13246
172,tie,11212
172,tii,11211
172,tdi,10590
172,tde,11220
172,ra,S/N
173,ddi,18VACIO
173,ddd,vacio38
173,tie,4290
173,tii,4491
173,tdi,vacio01
173,tde,S/N
174,ddi,11502
174,ddd,11503
174,tie,11427
174,tii,11426
174,tdi,10492
174,tde,10491
175,ddi,13225
175,ddd,13224
175,tie,11152
175,tii,11151
175,tdi,11137
175,tde,11138
180,ddi,11669
180,ddd,11668
180,tie,9993
180,tii,9994
180,tdi,9995
180,tde,9996
181,ddi,11856
181,ddd,11855
181,tie,11243
181,tii,11244
181,tdi,11245
181,tde,11246
183,ddi,13028
183,ddd,13027
183,tie,11293
183,tii,11294
183,tdi,9092
183,tde,9029
191,ddi,12448
191,ddd,12698
191,tie,10932
191,tii,10929
191,tdi,10931
191,tde,10928
191,ra,3064
192,ddi,11425
192,ddd,11424
192,tie,11077
192,tii,11076
192,tdi,11111
192,tde,10339
192,ra,6157
194,ddi,11768
194,ddd,11767
194,tie,11309
194,tii,11310
194,tdi,11694
194,tde,11695
194,ra,5825
195,ddi,12259
195,ddd,12258
195,tie,11318
195,tii,11317
195,tdi,10054
195,tde,10053
195,ra,5041
196,ddi,11766
196,ddd,11765
196,tie,11691
196,tii,11690
196,tdi,11416
196,tde,11417
196,ra,3754
197,ddi,12954
197,ddd,12953
197,tie,12955
197,tii,12956
197,tdi,12957
197,tde,12958
197,ra,9326
200,ddi,13325
200,ddd,13324
200,tie,11776
200,tii,11775
200,tdi,11774
200,tde,11773
201,ddi,13110
201,ddd,13109
201,tie,12558
201,tii,12559
201,tdi,12560
201,tde,12561
203,ddi,12700
203,ddd,12699
203,tie,11010
203,tii,11011
203,tdi,11012
203,tde,11013
204,ddi,12839
204,ddd,12838
204,tie,10438
204,tii,10437
204,tdi,9973
204,tde,9974
204,ra,8656
205,ddi,s/n
205,ddd,s/n
205,tie,S/N
205,tii,S/N
205,tdi,S/N
205,tde,S/N
206,ddi,S/N
206,ddd,S/N
206,tie,s/n
206,tii,s/n
206,tdi,S/N
206,tde,S/N
206,ra,s/n
207,ddi,10278
207,ddd,10215
207,tie,9818
207,tii,9834
207,tdi,9514
207,tde,9006
207,ra,VACIO
210,ddi,s/n
210,ddd,s/n
210,tie,S/N
210,tii,s/n
210,tdi,s/n
210,tde,S/N
211,ddi,12867
211,ddd,12866
211,tie,12868
211,tii,12869
211,tdi,12870
211,tde,12871
211,ra,11469
218,ddi,11770
218,ddd,11769
218,tie,9977
218,tii,9978
218,tdi,9979
218,tde,9980
219,ddi,12424
219,ddd,12423
219,tie,11328
219,tii,11327
219,tdi,11326
219,tde,11325
219,ra,7259
221,ddi,13022
221,ddd,13021
221,tie,11143
221,tii,11144
221,tdi,11145
221,tde,11146
222,ddi,13024
222,ddd,13023
222,tie,11149
222,tii,11150
222,tdi,3160
222,tde,3237
223,ddi,13222
223,ddd,13221
223,tie,11936
223,tii,11937
223,tdi,11938
223,tde,11939
228,ddi,13025
228,ddd,13026
228,tie,3193
228,tii,3289
228,tdi,11139
228,tde,11140
229,ddi,12426
229,ddd,12425
229,tie,12235
229,tii,12234
229,tdi,12233
229,tde,12232
230,ddi,s/n
230,ddd,s/n
230,tie,S/N
230,tii,S/N
230,tdi,S/N
230,tde,S/N
231,ddi,12075
231,ddd,12074
231,tie,S/N
231,tii,S/N
231,tdi,S/N
231,tde,S/N
231,ra,s/n
233,ddi,S/N
233,ddd,S/N
233,tie,s/n
233,tii,s/n
233,tdi,s/n
233,tde,s/n
234,ddi,11654
234,ddd,11628
234,tie,S/N
234,tii,S/N
234,tdi,S/N
234,tde,S/N
236,ddi,11948
236,ddd,11955
236,tie,13223
236,tii,13220
236,tdi,13219
236,tde,13218
237,ddi,12240
237,ddd,12241
237,tie,12242
237,tii,12243
237,tdi,12244
237,tde,12245
238,ddi,11760
238,ddd,11759
238,tie,10228
238,tii,9840
238,tdi,10670
238,tde,10281
240,ddi,12450
240,ddd,12449
240,tie,12900
240,tii,12901
240,tdi,12902
240,tde,12903
240,ra,14VACIO
241,ddi,13020
241,ddd,13019
241,tie,11213
241,tii,11214
241,tdi,11215
241,tde,11216
241,ra,8111
242,ddi,11154
242,ddd,11153
242,tie,11001
242,tii,11000
242,tdi,10999
242,tde,10998
242,ra,9087
243,ddi,13370
243,ddd,13369
243,tie,12354
243,tii,12357
243,tdi,12356
243,tde,12358
244,ddi,12960
244,ddd,12959
244,tie,12096
244,tii,12097
244,tdi,12098
244,tde,11986
245,ddi,11067
245,ddd,11066
245,tie,9682
245,tii,9681
245,tdi,9589
245,tde,9679
245,ra,S/N
246,ddi,11090
246,ddd,11095
246,tie,10260
246,tii,10262
246,tdi,11093
246,tde,11088
247,ddi,12986
247,ddd,12873
247,tie,12988
247,tii,12987
247,tdi,12989
247,tde,12990
247,ra,9269
248,ddi,12571
248,ddd,12570
248,tie,11912
248,tii,11913
248,tdi,12572
248,tde,12573
248,ra,9286
249,ddi,12569
249,ddd,12568
249,tie,12949
249,tii,12950
249,tdi,12951
249,tde,12952
250,ddi,11893
250,ddd,11892
250,tie,13240
250,tii,13241
250,tdi,13242
250,tde,13243
251,ddi,13319
251,ddd,13318
251,tie,12092
251,tii,12093
251,tdi,12094
251,tde,12095
441,ddi,11627
441,ddd,11626
441,tie,S/N
441,tii,S/N
441,tdi,s/n
441,tde,s/n
254,ddi,12962
254,ddd,12961
254,tie,12963
254,tii,12964
254,tdi,12965
254,tde,12966
2000,ddi,VACIO1
2000,ddd,VACIO2
2000,tie,6545R
2000,tii,6546R
2000,tdi,6232R
2000,tde,7028R
2000,ra,6582
42,ddi,13042
42,ddd,13041
42,cie,11758
42,cii,11757
42,cdi,11756
42,cde,11755
42,tie,11639
42,tde,11638
42,ra,s/n
259,ddi,12703
259,ddd,12702
259,tie,11922
259,tii,11923
259,tdi,11857
259,tde,11858
259,ra,3VACIO
258,ddi,11665
258,ddd,11664
258,tie,11676
258,tii,10497
258,tdi,11678
258,tde,11679
257,ddi,12187
257,ddd,12186
257,tie,10427
257,tii,10432
257,tdi,10545
257,tde,10546
257,ra,1VACIO
31,ddi,13049
31,ddd,13048
31,cie,13191
31,cii,13190
31,cdi,13189
31,cde,13188
31,tie,11251
31,tde,11256
31,ra,4019
261,ddi,11663
261,ddd,11435
261,tie,11680
261,tii,11681
261,tdi,11682
261,tde,11683
260,ddi,12451
260,ddd,12701
260,tie,3903
260,tii,3119
260,tdi,9828
260,tde,9829
262,ddi,12911
262,ddd,12910
262,tie,12052
262,tii,12053
262,tdi,12054
262,tde,12055
262,ra,vacio02
263,ddi,12436
263,ddd,12435
263,tie,12697
263,tii,12447
263,tdi,12695
263,tde,12696
146,ddi,11985
146,ddd,11984
146,tie,s/n
146,tii,s/n
146,tdi,s/n
146,tde,s/n
146,ra,7859
264,ddi,12430
264,ddd,12429
264,tie,11851
264,tii,11852
264,tdi,11853
264,tde,11854
264,ra,5VACIO
265,ddi,12821
265,ddd,12820
265,tie,10950
265,tii,3544
265,tdi,11115
265,tde,11221
152,ddi,10398
152,ddd,10397
152,tie,10399
152,tii,10400
152,tdi,10401
152,tde,10402
152,ra,VACIO
155,ddi,12567
155,ddd,12566
155,tie,10455R
155,tii,10537R
155,tdi,10217R
155,tde,10218R
155,ra,9256
271,ddi,12909
271,ddd,12908
271,tie,11481
271,tii,11064
271,tdi,11479
271,tde,11478
273,ddi,12905
273,ddd,12904
